antecedents,consequents,support,confidence,lift,ant_class,con_class
"KTDZY0, AKP0A7",RAUDQ6,0.005712567648827421,0.31666666666666665,9.218672501823486,mixed,A
7BU1V7,"XUZJ74, AKP0A7",0.008719182200841852,0.16430594900849857,9.184564477349014,C,mixed
"XUZJ74, AKP0A7",7BU1V7,0.008719182200841852,0.4873949579831933,9.184564477349014,mixed,C
"W25EZN, 7BU1V7",IA7X1P,0.005862898376428142,0.45614035087719307,9.139294018177976,mixed,C
IA7X1P,"W25EZN, 7BU1V7",0.005862898376428142,0.11746987951807229,9.139294018177976,C,mixed
O9YFO8,"AKP0A7, I1KDJ0",0.004585087191822009,0.18711656441717794,9.118676824198298,A,mixed
"AKP0A7, I1KDJ0",O9YFO8,0.004585087191822009,0.22344322344322348,9.118676824198298,mixed,A
"U95NWB, JEGRCL",TNAHD4,0.005712567648827421,0.4903225806451614,9.085308653068562,mixed,A
TNAHD4,"U95NWB, JEGRCL",0.005712567648827421,0.10584958217270196,9.08530865306856,A,mixed
O9YFO8,"8N10W9, U95NWB",0.006088394467829225,0.2484662576687117,9.056424909656275,A,mixed
"8N10W9, U95NWB",O9YFO8,0.006088394467829225,0.2219178082191781,9.056424909656274,mixed,A
"J3FI7N, KTDZY0",AKP0A7,0.004359591100420926,0.58,9.046096131301288,mixed,A
WGHG3L,"IA7X1P, KTDZY0",0.004434756464221287,0.10207612456747404,8.993514975136918,A,mixed
"IA7X1P, KTDZY0",WGHG3L,0.004434756464221287,0.39072847682119205,8.993514975136918,mixed,A
"IA7X1P, WGHG3L",W25EZN,0.004209260372820205,0.5656565656565656,8.980304235674165,mixed,C
"SMMRK3, CD1NU9",56TC1Z,0.0042844257366205655,0.375,8.973021582733812,mixed,A
56TC1Z,"SMMRK3, CD1NU9",0.0042844257366205655,0.10251798561151079,8.973021582733812,A,mixed
O9YFO8,"8D9SAW, I1KDJ0",0.004509921828021648,0.18404907975460125,8.969190318883571,A,mixed
"8D9SAW, I1KDJ0",O9YFO8,0.004509921828021648,0.2197802197802198,8.969190318883571,mixed,A
"KTDZY0, TNAHD4",JEGRCL,0.005487071557426338,0.49324324324324326,8.940201782163635,mixed,A
"XUZJ74, JEGRCL",7BU1V7,0.004058929645219483,0.47368421052631576,8.926196511107797,mixed,C
1JT1XB,"WRRW1W, KUFVRI",0.00954600120264582,0.23345588235294118,8.924991548343476,B,mixed
"WRRW1W, KUFVRI",1JT1XB,0.00954600120264582,0.3649425287356322,8.924991548343476,mixed,B
"G8ASPE, KUFVRI",1JT1XB,0.004058929645219483,0.36486486486486486,8.923092209856915,mixed,B
"RAUDQ6, TBCCF7",AKP0A7,0.004209260372820205,0.5714285714285714,8.912409981577625,mixed,A
"DGAONE, IA7X1P",AKP0A7,0.0042844257366205655,0.57,8.890128956623679,mixed,A
"XUZJ74, TBCCF7",7BU1V7,0.0042844257366205655,0.4710743801652893,8.877016365041088,mixed,C
"8D9SAW, O9YFO8",U95NWB,0.004134095009019844,0.40145985401459855,8.857416082604011,mixed,B
"2T1DJM, 0LNUOV",AKP0A7,0.006163559831629585,0.5655172413793105,8.820212636940617,mixed,A
"XUZJ74, TNAHD4",IA7X1P,0.004134095009019844,0.4400000000000001,8.815903614457833,mixed,C
TNAHD4,"JEGRCL, KTDZY0",0.005487071557426338,0.10167130919220056,8.78334478891582,A,mixed
"JEGRCL, KTDZY0",TNAHD4,0.005487071557426338,0.474025974025974,8.78334478891582,mixed,A
"DGAONE, AKP0A7",U95NWB,0.004209260372820205,0.3971631205673759,8.7626171741764,mixed,B
"8D9SAW, XUZJ74",7BU1V7,0.008343355381840048,0.46443514644351463,8.751905365842095,mixed,C
7BU1V7,"8D9SAW, XUZJ74",0.008343355381840048,0.1572237960339943,8.751905365842093,C,mixed
"SMMRK3, V7JUQL",7BU1V7,0.0046602525556223694,0.4626865671641791,8.718954801065493,mixed,C
"IA7X1P, TNAHD4",W25EZN,0.006389055923030668,0.5483870967741936,8.706135961197939,mixed,C
W25EZN,"IA7X1P, TNAHD4",0.006389055923030668,0.10143198090692125,8.706135961197937,C,mixed
"SMMRK3, 2OAVPY",7BU1V7,0.004058929645219483,0.4615384615384615,8.697319677489649,mixed,C
IA7X1P,"W25EZN, XUZJ74",0.006389055923030668,0.12801204819277107,8.689144332431766,C,mixed
"W25EZN, XUZJ74",IA7X1P,0.006389055923030668,0.43367346938775503,8.689144332431766,mixed,C
TNAHD4,"8D9SAW, JEGRCL",0.00751653638003608,0.1392757660167131,8.658527061151174,A,mixed
"8D9SAW, JEGRCL",TNAHD4,0.00751653638003608,0.4672897196261683,8.658527061151174,mixed,A
2OAVPY,"SMMRK3, 7BU1V7",0.004058929645219483,0.2769230769230769,8.648320693391115,C,mixed
"SMMRK3, 7BU1V7",2OAVPY,0.004058929645219483,0.1267605633802817,8.648320693391115,mixed,C
AHR20O,Q50W5L,0.00849368610944077,0.22782258064516125,8.63518978035107,A,C
Q50W5L,AHR20O,0.00849368610944077,0.3219373219373219,8.63518978035107,C,A
TNAHD4,"8N10W9, JEGRCL",0.013003607937462417,0.24094707520891367,8.617096474675773,A,mixed
"8N10W9, JEGRCL",TNAHD4,0.013003607937462417,0.46505376344086025,8.617096474675773,mixed,A
"SMMRK3, JEGRCL",TNAHD4,0.007967528562838245,0.4649122807017544,8.614474905927773,mixed,A
TNAHD4,"SMMRK3, JEGRCL",0.007967528562838245,0.1476323119777159,8.614474905927773,A,mixed
"7BU1V7, V7JUQL",XUZJ74,0.0046602525556223694,0.7126436781609196,8.611272928476724,mixed,C
JEGRCL,"U95NWB, TNAHD4",0.005712567648827421,0.10354223433242508,8.609536784741145,A,mixed
"U95NWB, TNAHD4",JEGRCL,0.005712567648827421,0.475,8.609536784741145,mixed,A
"8N10W9, AB9XBU",56TC1Z,0.004134095009019844,0.3594771241830066,8.60158931678187,mixed,A
IA7X1P,"W25EZN, SMMRK3",0.00947083583884546,0.1897590361445783,8.586919104991395,C,mixed
"W25EZN, SMMRK3",IA7X1P,0.00947083583884546,0.42857142857142855,8.586919104991393,mixed,C
